,nvim,
,transmission-cli,"for torrenting backend"
A,stig,for visual interfacing with torrents
A,grabc,
,networkmanager-dmenu,
A,flashfocus,
,ctags,
,zathura,
,zathura-ps,
,zathura-pdf-mupdf,
,trash-cli,
,kdeconnect,
,qt5-tools,
,xdotool,
,xorg-xwininfo,
,youtube-dl, 
,pulsemixer,
,ranger,
,mpv,
,newsboat,
A,htop-vim-git,
,tmux,
A,unclutter-xfixes-git,
,fzf,
,xorg-server,
,xorg-xinit,
,ttf-inconsolata,
,ttf-linux-libertine,
,arandr,
,calcurse,
,compton,
,xorg-xprop,
,dosfstools,
,libnotify,
,dunst,
,exfat-utils,
,xwallpaper,"wallpaper setter"
,ffmpeg,
,gnome-keyring,
,neovim,
,ncmpcpp,
,networkmanager,
,ntfs-3g,
,pulseaudio-alsa,
,imagemagick,
,socat,
,unrar,
,unzip,
A,urlscan,
,w3m,
,xcape,
,xclip,
,xdotool,
,xorg-xdpyinfo,
,xssstate,
,zathura-pdf-mupdf,
,poppler,
,mediainfo,
,atool,
,highlight,
,xorg-xbacklight,
A,task-spooler,
A,simple-mtpfs,
A,spotify,
,nnn,
,vidir,"for nnn"
,arc-gtk-theme,
,qrencode,"QR code generator"
,aspell,
,aspell-en,
,fish,
,ttf-dejavu,"font used in dwm an dmenu"
,adobe-source-code-pro-fonts,"font for term"
,timeshift,
A,svox-pico-bin,"used for pico2wave (text to speech)"
,the_silver_searcher,
,gdb,"fixes issued with surf"
,dash,"fast sh replacment"
,aria2,"download anything"
,texlive-most,"latex installation"
,pandoc,"reformat file formats"
,gtk-engine-murrine,"gtk engine needed"
,imv,"image viewer for X and Way"
,gcalcli,"google calender for cli"
,notmuch,"email searching"
,xournalpp,"handwriting Notetaking software"
,redshift,
,clipmenu,
,nerd-fonts-terminus,"used for ranger"
,clang,"c compiler"
,entr,"used for autocompilation"
,pass,
A,ttf-emojione,
A,ttf-symbola,
A,google-chrome,"google calender for cli"
A,mutt-wizard-git,
A,surf-git,"used for surf dependancies"
G,https://github.com/Gavinok/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/Gavinok/dmenu.git,"fork of dmenu"
G,https://github.com/Gavinok/dwm.git,"fork of dwm"
G,https://github.com/Gavinok/Gsurfing.git,"fork of surf"
G,http://porkepik.fr/setxbg,"simple backgroung setter"
G,http://porkepik.fr/sct,"alternative to redshift"
